#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
22,dart_2024-06-30_role-D431425,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D431425,link:presentationLink link:calculationLink link:definitionLink ,"[D431425] 단일 포괄손익계산서, 기능별 분류, 세전 - 별도 | Statement of comprehensive income [alternative], by function of expense - Separate financial statements",dart_all_2024-06-30.xsd,
23,dart_2024-06-30_role-D432410,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D432410,link:presentationLink link:calculationLink link:definitionLink ,"[D432410] 단일 포괄손익계산서, 성격별 분류, 세후 - 연결 | Statement of comprehensive income, by nature of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
24,dart_2024-06-30_role-D432415,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D432415,link:presentationLink link:calculationLink link:definitionLink ,"[D432415] 단일 포괄손익계산서, 성격별 분류, 세후 - 별도 | Statement of comprehensive income, by nature of expense - Separate financial statements",dart_all_2024-06-30.xsd,
25,dart_2024-06-30_role-D432420,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D432420,link:presentationLink link:calculationLink link:definitionLink ,"[D432420] 단일 포괄손익계산서, 성격별 분류, 세전 - 연결 | Statement of comprehensive income [alternative], by nature of expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
26,dart_2024-06-30_role-D432425,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D432425,link:presentationLink link:calculationLink link:definitionLink ,"[D432425] 단일 포괄손익계산서, 성격별 분류, 세전 - 별도 | Statement of comprehensive income [alternative], by nature of expense - Separate financial statements",dart_all_2024-06-30.xsd,
27,dart_2024-06-30_role-DB220000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB220000,link:presentationLink link:calculationLink link:definitionLink ,"[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
28,dart_2024-06-30_role-DI220000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI220000,link:presentationLink link:calculationLink link:definitionLink ,"[DI220000] 재무상태표, 보험 - 연결 | Statement of Financial Position, Insurance Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
29,dart_2024-06-30_role-DS220000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS220000,link:presentationLink link:calculationLink link:definitionLink ,"[DS220000] 재무상태표, 증권 - 연결 | Statement of Financial Position, Securities Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
30,dart_2024-06-30_role-DX320000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX320000,link:presentationLink link:calculationLink link:definitionLink ,"[DX320000] 포괄손익계산서, 기타 - 연결 | Statement of Comprehensive Income, Others - Consolidated financial statements",dart_all_2024-06-30.xsd,
31,dart_2024-06-30_role-DS320000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS320000,link:presentationLink link:calculationLink link:definitionLink ,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
