#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
394,ias_21_role-D842005,http://dart.fss.or.kr/role/ifrs/ias_21_role-D842005,link:presentationLink link:definitionLink ,[D842005] 주석 - 환율변동효과 - 별도 | Notes - Effects of changes in foreign exchange rates - Separate financial statements,dart_all_2024-06-30.xsd,
395,ias_7_role-D851105,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851105,link:presentationLink link:definitionLink ,[D851105] 주석 - 현금흐름표 - 별도 | Notes - Cash flow statement - Separate financial statements,dart_all_2024-06-30.xsd,
396,ias_1_role-D861005,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861005,link:presentationLink link:definitionLink ,[D861005] 주석 - 기타포괄손익의 항목별 분석 - 별도 | Notes - Analysis of other comprehensive income by item - Separate financial statements,dart_all_2024-06-30.xsd,
397,ias_1_role-D861205,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861205,link:presentationLink link:definitionLink ,"[D861205] 주석 - 자본금, 적립금, 기타지분 - 별도 | Notes - Share capital, reserves and other equity interest - Separate financial statements",dart_all_2024-06-30.xsd,
398,ias_1_role-D861205a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861205a,link:definitionLink ,"[D861205a] 주석 - 자본금, 적립금, 기타지분 - 별도 | Notes - Share capital, reserves and other equity interest - Separate financial statements",dart_all_2024-06-30.xsd,
399,ias_1_role-D861205b,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861205b,link:definitionLink ,"[D861205b] 주석 - 자본금, 적립금, 기타지분 - 별도 | Notes - Share capital, reserves and other equity interest - Separate financial statements",dart_all_2024-06-30.xsd,
400,ifric_5_role-D868205,http://dart.fss.or.kr/role/ifrs/ifric_5_role-D868205,link:presentationLink link:definitionLink ,"[D868205] 주석 - 사후처리, 복구, 정화를 위한 기금에서 발생한 지분에 대한 권리 - 별도 | Notes - Rights to interests arising from decommissioning, restoration and environmental rehabilitation funds - Separate financial statements",dart_all_2024-06-30.xsd,
401,ifric_2_role-D868505,http://dart.fss.or.kr/role/ifrs/ifric_2_role-D868505,link:presentationLink link:definitionLink ,[D868505] 주석 - 조합원 지분과 유사지분 - 별도 | Notes - Members' shares in co-operative entities and similar instruments - Separate financial statements,dart_all_2024-06-30.xsd,
402,ifrs_8_role-D871105,http://dart.fss.or.kr/role/ifrs/ifrs_8_role-D871105,link:presentationLink link:definitionLink ,[D871105] 주석 - 영업부문 - 별도 | Notes - Operating segments - Separate financial statements,dart_all_2024-06-30.xsd,
403,ifrs_8_role-D871105a,http://dart.fss.or.kr/role/ifrs/ifrs_8_role-D871105a,link:definitionLink ,[D871105a] 주석 - 영업부문 - 별도 | Notes - Operating segments - Separate financial statements,dart_all_2024-06-30.xsd,
404,ifrs_8_role-D871105b,http://dart.fss.or.kr/role/ifrs/ifrs_8_role-D871105b,link:definitionLink ,[D871105b] 주석 - 영업부문 - 별도 | Notes - Operating segments - Separate financial statements,dart_all_2024-06-30.xsd,
405,ifrs_8_role-D871105c,http://dart.fss.or.kr/role/ifrs/ifrs_8_role-D871105c,link:definitionLink ,[D871105c] 주석 - 영업부문 - 별도 | Notes - Operating segments - Separate financial statements,dart_all_2024-06-30.xsd,
406,ifrs_8_role-D871105d,http://dart.fss.or.kr/role/ifrs/ifrs_8_role-D871105d,link:definitionLink ,[D871105d] 주석 - 영업부문 - 별도 | Notes - Operating segments - Separate financial statements,dart_all_2024-06-30.xsd,
407,ias_1_role-D880005,http://dart.fss.or.kr/role/ifrs/ias_1_role-D880005,link:presentationLink link:definitionLink ,[D880005] 주석 - 추가정보 - 별도 | Notes - Additional information - Separate financial statements,dart_all_2024-06-30.xsd,
408,ias_1_role-D810000d,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810000d,link:definitionLink ,[D810000d] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements,dart_all_2024-06-30.xsd,
409,ias_1_role-D810005d,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810005d,link:definitionLink ,[D810005d] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 별도 | Notes - Corporate information and statement of IFRS compliance - Separate financial statements,dart_all_2024-06-30.xsd,
410,ias_8_role-D811000d,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811000d,link:definitionLink ,"[D811000d] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements",dart_all_2024-06-30.xsd,
411,ias_8_role-D811005d,http://dart.fss.or.kr/role/ifrs/ias_8_role-D811005d,link:definitionLink ,"[D811005d] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 별도 | Notes - Accounting policies, changes in accounting estimates and errors - Separate financial statements",dart_all_2024-06-30.xsd,
412,ias_10_role-D815000a,http://dart.fss.or.kr/role/ifrs/ias_10_role-D815000a,link:definitionLink ,[D815000a] 주석 - 보고기간 후 사건 - 연결 | Notes - Events after reporting period - Consolidated financial statements,dart_all_2024-06-30.xsd,
413,ias_10_role-D815005a,http://dart.fss.or.kr/role/ifrs/ias_10_role-D815005a,link:definitionLink ,[D815005a] 주석 - 보고기간 후 사건 - 별도 | Notes - Events after reporting period - Separate financial statements,dart_all_2024-06-30.xsd,
414,ifrs_3_role-D817000e,http://dart.fss.or.kr/role/ifrs/ifrs_3_role-D817000e,link:definitionLink ,[D817000e] 주석 - 사업결합 - 연결 | Notes - Business combinations - Consolidated financial statements,dart_all_2024-06-30.xsd,
415,ifrs_3_role-D817005e,http://dart.fss.or.kr/role/ifrs/ifrs_3_role-D817005e,link:definitionLink ,[D817005e] 주석 - 사업결합 - 별도 | Notes - Business combinations - Separate financial statements,dart_all_2024-06-30.xsd,
416,ias_24_role-D818000b,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818000b,link:definitionLink ,[D818000b] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements,dart_all_2024-06-30.xsd,
417,ias_24_role-D818000c,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818000c,link:definitionLink ,[D818000c] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements,dart_all_2024-06-30.xsd,
418,ias_24_role-D818005b,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818005b,link:definitionLink ,[D818005b] 주석 - 특수관계자 - 별도 | Notes - Related party - Separate financial statements,dart_all_2024-06-30.xsd,
419,ias_24_role-D818005c,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818005c,link:definitionLink ,[D818005c] 주석 - 특수관계자 - 별도 | Notes - Related party - Separate financial statements,dart_all_2024-06-30.xsd,
420,ias_16_role-D822100a,http://dart.fss.or.kr/role/ifrs/ias_16_role-D822100a,link:definitionLink ,"[D822100a] 주석 - 유형자산 - 연결 | Notes - Property, plant and equipment - Consolidated financial statements",dart_all_2024-06-30.xsd,
421,ias_16_role-D822105a,http://dart.fss.or.kr/role/ifrs/ias_16_role-D822105a,link:definitionLink ,"[D822105a] 주석 - 유형자산 - 별도 | Notes - Property, plant and equipment - Separate financial statements",dart_all_2024-06-30.xsd,
422,ifrs_13_role-D823000j,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823000j,link:definitionLink ,[D823000j] 주석 - 공정가치측정 - 연결 | Notes - Fair value measurement - Consolidated financial statements,dart_all_2024-06-30.xsd,
423,ifrs_13_role-D823005j,http://dart.fss.or.kr/role/ifrs/ifrs_13_role-D823005j,link:definitionLink ,[D823005j] 주석 - 공정가치측정 - 별도 | Notes - Fair value measurement - Separate financial statements,dart_all_2024-06-30.xsd,
424,ias_38_role-D823180e,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180e,link:definitionLink ,[D823180e] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
425,ias_38_role-D823185e,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823185e,link:definitionLink ,[D823185e] 주석 - 무형자산 - 별도 | Notes - Intangible assets - Separate financial statements,dart_all_2024-06-30.xsd,
426,ias_41_role-D824180c,http://dart.fss.or.kr/role/ifrs/ias_41_role-D824180c,link:definitionLink ,[D824180c] 주석 - 농림어업 - 연결 | Notes - Agriculture - Consolidated financial statements,dart_all_2024-06-30.xsd,
427,ias_41_role-D824185c,http://dart.fss.or.kr/role/ifrs/ias_41_role-D824185c,link:definitionLink ,[D824185c] 주석 - 농림어업 - 별도 | Notes - Agriculture - Separate financial statements,dart_all_2024-06-30.xsd,
428,ifrs_14_role-D824500b,http://dart.fss.or.kr/role/ifrs/ifrs_14_role-D824500b,link:definitionLink ,[D824500b] 주석 - 규제이연계정 - 연결 | Regulatory deferral accounts - Consolidated financial statements,dart_all_2024-06-30.xsd,
429,ifrs_14_role-D824505b,http://dart.fss.or.kr/role/ifrs/ifrs_14_role-D824505b,link:definitionLink ,[D824505b] 주석 - 규제이연계정 - 별도 | Regulatory deferral accounts - Separate financial statements,dart_all_2024-06-30.xsd,
430,ias_40_role-D825100a,http://dart.fss.or.kr/role/ifrs/ias_40_role-D825100a,link:definitionLink ,[D825100a] 주석 - 투자부동산 - 연결 | Notes - Investment property - Consolidated financial statements,dart_all_2024-06-30.xsd,
431,ias_40_role-D825105a,http://dart.fss.or.kr/role/ifrs/ias_40_role-D825105a,link:definitionLink ,[D825105a] 주석 - 투자부동산 - 별도 | Notes - Investment property - Separate financial statements,dart_all_2024-06-30.xsd,
432,ias_27_role-D825480b,http://dart.fss.or.kr/role/ifrs/ias_27_role-D825480b,link:definitionLink ,[D825480b] 주석 - 별도재무제표 - 연결 | Notes - Separate financial statements - Consolidated financial statements,dart_all_2024-06-30.xsd,
433,ias_27_role-D825485b,http://dart.fss.or.kr/role/ifrs/ias_27_role-D825485b,link:definitionLink ,[D825485b] 주석 - 별도재무제표 - 별도 | Notes - Separate financial statements - Separate financial statements,dart_all_2024-06-30.xsd,
434,ifrs_12_role-D825700h,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825700h,link:definitionLink ,[D825700h] 주석 - 타 기업에 대한 지분의 공시 - 연결 | Notes - Interests in other entities - Consolidated financial statements,dart_all_2024-06-30.xsd,
435,ifrs_12_role-D825705h,http://dart.fss.or.kr/role/ifrs/ifrs_12_role-D825705h,link:definitionLink ,[D825705h] 주석 - 타 기업에 대한 지분의 공시 - 별도 | Notes - Interests in other entities - Separate financial statements,dart_all_2024-06-30.xsd,
436,ifrs_5_role-D825900a,http://dart.fss.or.kr/role/ifrs/ifrs_5_role-D825900a,link:definitionLink ,[D825900a] 주석 - 매각예정비유동자산과 중단영업 - 연결 | Notes - Non-current asset held for sale and discontinued operations - Consolidated financial statements,dart_all_2024-06-30.xsd,
437,ifrs_5_role-D825905a,http://dart.fss.or.kr/role/ifrs/ifrs_5_role-D825905a,link:definitionLink ,[D825905a] 주석 - 매각예정비유동자산과 중단영업 - 별도 | Notes - Non-current asset held for sale and discontinued operations - Separate financial statements,dart_all_2024-06-30.xsd,
438,ifrs_15_role-D831150g,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831150g,link:definitionLink ,[D831150g] 주석 - 고객과의 계약에서 생기는 수익 - 연결 | Notes - Changes In Estimated Total Contract Revenue And Costs - Consolidated financial statements,dart_all_2024-06-30.xsd,
439,ifrs_15_role-D831155g,http://dart.fss.or.kr/role/ifrs/ifrs_15_role-D831155g,link:definitionLink ,[D831155g] 주석 - 고객과의 계약에서 생기는 수익 - 별도 | Notes - Changes In Estimated Total Contract Revenue And Costs - Separate financial statements,dart_all_2024-06-30.xsd,
440,ifrs_16_role-D832610c,http://dart.fss.or.kr/role/ifrs/ifrs_16_role-D832610c,link:definitionLink ,[D832610c] 주석 - 리스(자산및부채) - 연결 |Notes - Leases - Consolidated financial statements,dart_all_2024-06-30.xsd,
441,ifrs_16_role-D832615c,http://dart.fss.or.kr/role/ifrs/ifrs_16_role-D832615c,link:definitionLink ,[D832615c] 주석 - 리스(자산및부채) - 별도 | Notes - Leases - Separate financial statements,dart_all_2024-06-30.xsd,
442,sic_29_role-D832900a,http://dart.fss.or.kr/role/ifrs/sic_29_role-D832900a,link:definitionLink ,[D832900a] 주석 - 민간투자사업 - 연결 | Notes - Service concession arrangements - Consolidated financial statements,dart_all_2024-06-30.xsd,
443,sic_29_role-D832905a,http://dart.fss.or.kr/role/ifrs/sic_29_role-D832905a,link:definitionLink ,[D832905a] 주석 - 민간투자사업 - 별도 | Notes - Service concession arrangements - Separate financial statements,dart_all_2024-06-30.xsd,
444,ias_19_role-D834480e,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480e,link:definitionLink ,[D834480e] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
445,ias_19_role-D834485e,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834485e,link:definitionLink ,[D834485e] 주석 - 종업원급여 - 별도 | Notes - Employee benefits - Separate financial statements,dart_all_2024-06-30.xsd,
446,ias_12_role-D835110c,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110c,link:definitionLink ,[D835110c] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
447,ias_12_role-D835115c,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115c,link:definitionLink ,[D835115c] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
448,ifrs_4_role-D836500o,http://dart.fss.or.kr/role/ifrs/ifrs_4_role-D836500o,link:definitionLink ,[D836500o] 주석 - 보험계약 - 연결 | Notes - Insurance contracts - Consolidated financial statements,dart_all_2024-06-30.xsd,
449,ifrs_4_role-D836505o,http://dart.fss.or.kr/role/ifrs/ifrs_4_role-D836505o,link:definitionLink ,[D836505o] 주석 - 보험계약 - 별도 | Notes - Insurance contracts - Separate financial statements,dart_all_2024-06-30.xsd,
450,ifrs_17_role-D836600o,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600o,link:definitionLink ,[D836600o] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
451,ifrs_17_role-D836605o,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836605o,link:definitionLink ,[D836605o] 주석 - 보험계약 (IFRS 17) - 별도 | Notes - Insurance contracts (IFRS 17) - Separate financial statements,dart_all_2024-06-30.xsd,
452,ias_7_role-D851100a,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851100a,link:definitionLink ,[D851100a] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements,dart_all_2024-06-30.xsd,
453,ias_7_role-D851105a,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851105a,link:definitionLink ,[D851105a] 주석 - 현금흐름표 - 별도 | Notes - Cash flow statement - Separate financial statements,dart_all_2024-06-30.xsd,
454,ias_1_role-D861000a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861000a,link:definitionLink ,[D861000a] 주석 - 기타포괄손익의 항목별 분석 - 연결 | Notes - Analysis of other comprehensive income by item - Consolidated financial statements,dart_all_2024-06-30.xsd,
455,ias_1_role-D861005a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861005a,link:definitionLink ,[D861005a] 주석 - 기타포괄손익의 항목별 분석 - 별도 | Notes - Analysis of other comprehensive income by item - Separate financial statements,dart_all_2024-06-30.xsd,
456,ias_1_role-D861300,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861300,link:presentationLink link:definitionLink ,[D861300] 주석 - 이익잉여금 처분계산서 - 연결 | Notes - Statement of Appropriation of Retained Earnings - Consolidated financial statements,dart_all_2024-06-30.xsd,
457,ias_1_role-D861305,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861305,link:presentationLink link:definitionLink ,[D861305] 주석 - 이익잉여금 처분계산서 - 별도 | Notes - Statement of Appropriation of Retained Earnings - Separate financial statements,dart_all_2024-06-30.xsd,
458,ias_2_role-D826380a,http://dart.fss.or.kr/role/ifrs/ias_2_role-D826380a,link:definitionLink ,[D826380a] 주석 - 재고자산 - 연결 | Notes - Inventories - Consolidated financial statements,dart_all_2024-06-30.xsd,
459,ias_2_role-D826385a,http://dart.fss.or.kr/role/ifrs/ias_2_role-D826385a,link:definitionLink ,[D826385a] 주석 - 재고자산 - 별도 | Notes - Inventories - Separate financial statements,dart_all_2024-06-30.xsd,
460,ias_38_role-D823180f,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823180f,link:definitionLink ,[D823180f] 주석 - 무형자산 - 연결 | Notes - Intangible assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
461,ias_38_role-D823185f,http://dart.fss.or.kr/role/ifrs/ias_38_role-D823185f,link:definitionLink ,[D823185f] 주석 - 무형자산 - 별도 | Notes - Intangible assets - Separate financial statements,dart_all_2024-06-30.xsd,
462,ias_16_role-D822100b,http://dart.fss.or.kr/role/ifrs/ias_16_role-D822100b,link:definitionLink ,"[D822100b] 주석 - 유형자산 - 연결 | Notes - Property, plant and equipment - Consolidated financial statements",dart_all_2024-06-30.xsd,
463,ias_16_role-D822105b,http://dart.fss.or.kr/role/ifrs/ias_16_role-D822105b,link:definitionLink ,"[D822105b] 주석 - 유형자산 - 별도 | Notes - Property, plant and equipment - Separate financial statements",dart_all_2024-06-30.xsd,
464,ifrs_7_role-D822400,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822400,link:presentationLink link:definitionLink ,[D822400] 주석 - 차입금 - 연결 | Notes - Borrowings - Consolidated financial statements,dart_all_2024-06-30.xsd,
465,ifrs_7_role-D822405,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822405,link:presentationLink link:definitionLink ,[D822405] 주석 - 차입금 - 별도 | Notes - Borrowings - Separate financial statements,dart_all_2024-06-30.xsd,
466,ifrs_7_role-D822400a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822400a,link:definitionLink ,[D822400a] 주석 - 차입금 - 연결 | Notes - Borrowings - Consolidated financial statements,dart_all_2024-06-30.xsd,
467,ifrs_7_role-D822405a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822405a,link:definitionLink ,[D822405a] 주석 - 차입금 - 별도 | Notes - Borrowings - Separate financial statements,dart_all_2024-06-30.xsd,
468,ifrs_7_role-D822410,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822410,link:presentationLink link:definitionLink ,[D822410] 주석 - 현금및현금성자산 - 연결 | Notes - Cash and cash equivalents - Consolidated financial statements,dart_all_2024-06-30.xsd,
469,ifrs_7_role-D822415,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822415,link:presentationLink link:definitionLink ,[D822415] 주석 - 현금및현금성자산 - 별도 | Notes - Cash and cash equivalents - Separate financial statements,dart_all_2024-06-30.xsd,
470,ifrs_7_role-D822420,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822420,link:presentationLink link:definitionLink ,[D822420] 주석 - 매출채권 및 기타채권 - 연결 | Notes - Trade and other receivables - Consolidated financial statements,dart_all_2024-06-30.xsd,
471,ifrs_7_role-D822425,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822425,link:presentationLink link:definitionLink ,[D822425] 주석 - 매출채권 및 기타채권 - 별도 | Notes - Trade and other receivables - Separate financial statements,dart_all_2024-06-30.xsd,
472,ifrs_7_role-D822420a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822420a,link:definitionLink ,[D822420a] 주석 - 매출채권 및 기타채권 - 연결 | Notes - Trade and other receivables - Consolidated financial statements,dart_all_2024-06-30.xsd,
473,ifrs_7_role-D822420b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822420b,link:definitionLink ,[D822420b] 주석 - 매출채권 및 기타채권 - 연결 | Notes - Trade and other receivables - Consolidated financial statements,dart_all_2024-06-30.xsd,
474,ifrs_7_role-D822425a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822425a,link:definitionLink ,[D822425a] 주석 - 매출채권 및 기타채권 - 별도 | Notes - Trade and other receivables - Separate financial statements,dart_all_2024-06-30.xsd,
475,ifrs_7_role-D822425b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822425b,link:definitionLink ,[D822425b] 주석 - 매출채권 및 기타채권 - 별도 | Notes - Trade and other receivables - Separate financial statements,dart_all_2024-06-30.xsd,
476,ifrs_7_role-D822430,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822430,link:presentationLink link:definitionLink ,[D822430] 주석 - 범주별 금융상품 - 연결 | Notes - Financial instruments by category - Consolidated financial statements,dart_all_2024-06-30.xsd,
477,ifrs_7_role-D822435,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822435,link:presentationLink link:definitionLink ,[D822435] 주석 - 범주별 금융상품 - 별도 | Notes - Financial instruments by category - Separate financial statements,dart_all_2024-06-30.xsd,
478,ifrs_7_role-D822430a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822430a,link:definitionLink ,[D822430a] 주석 - 범주별 금융상품 - 연결 | Notes - Financial instruments by category - Consolidated financial statements,dart_all_2024-06-30.xsd,
479,ifrs_7_role-D822430b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822430b,link:definitionLink ,[D822430b] 주석 - 범주별 금융상품 - 연결 | Notes - Financial instruments by category - Consolidated financial statements,dart_all_2024-06-30.xsd,
480,ifrs_7_role-D822435a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822435a,link:definitionLink ,[D822435a] 주석 - 범주별 금융상품 - 별도 | Notes - Financial instruments by category - Separate financial statements,dart_all_2024-06-30.xsd,
481,ifrs_7_role-D822435b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822435b,link:definitionLink ,[D822435b] 주석 - 범주별 금융상품 - 별도 | Notes - Financial instruments by category - Separate financial statements,dart_all_2024-06-30.xsd,
482,ifrs_7_role-D822440,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822440,link:presentationLink link:definitionLink ,[D822440] 주석 - 금융자산의 양도 - 연결 | Notes - Transfers Of Financial Assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
483,ifrs_7_role-D822445,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822445,link:presentationLink link:definitionLink ,[D822445] 주석 - 금융자산의 양도 - 별도 | Notes - Transfers Of Financial Assets - Separate financial statements,dart_all_2024-06-30.xsd,
484,ifrs_7_role-D822440a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822440a,link:definitionLink ,[D822440a] 주석 - 금융자산의 양도 - 연결 | Notes - Transfers Of Financial Assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
485,ifrs_7_role-D822440b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822440b,link:definitionLink ,[D822440b] 주석 - 금융자산의 양도 - 연결 | Notes - Transfers Of Financial Assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
486,ifrs_7_role-D822445b,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822445b,link:definitionLink ,[D822445b] 주석 - 금융자산의 양도 - 별도 | Notes - Transfers Of Financial Assets - Separate financial statements,dart_all_2024-06-30.xsd,
487,ifrs_7_role-D822445a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822445a,link:definitionLink ,[D822445a] 주석 - 금융자산의 양도 - 별도 | Notes - Transfers Of Financial Assets - Separate financial statements,dart_all_2024-06-30.xsd,
488,ifrs_7_role-D822450,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822450,link:presentationLink link:definitionLink ,[D822450] 주석 - 사채 - 연결 | Notes - Bonds - Consolidated financial statements,dart_all_2024-06-30.xsd,
489,ifrs_7_role-D822455,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822455,link:presentationLink link:definitionLink ,[D822455] 주석 - 사채 - 별도 | Notes - Bonds - Separate financial statements,dart_all_2024-06-30.xsd,
490,ifrs_7_role-D822450a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822450a,link:definitionLink ,[D822450a]  주석 - 사채 - 연결 | Notes - Bonds - Consolidated financial statements,dart_all_2024-06-30.xsd,
491,ifrs_7_role-D822455a,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822455a,link:definitionLink ,[D822455a] 주석 - 사채 - 별도 | Notes - Bonds - Separate financial statements,dart_all_2024-06-30.xsd,
492,dart_role-D834300,http://dart.fss.or.kr/role/ifrs/dart_role-D834300,link:presentationLink link:definitionLink ,[D834300] 주석 - 비용의 성격별 분류 - 연결 | Notes - Expenses by nature - Consolidated financial statements,dart_all_2024-06-30.xsd,
493,dart_role-D834305,http://dart.fss.or.kr/role/ifrs/dart_role-D834305,link:presentationLink link:definitionLink ,[D834305] 주석 - 비용의 성격별 분류 - 별도 | Notes - Expenses by nature - Separate financial statements,dart_all_2024-06-30.xsd,
494,dart_role-D834310,http://dart.fss.or.kr/role/ifrs/dart_role-D834310,link:presentationLink link:definitionLink ,"[D834310] 주석 - 판매비와 관리비 - 연결 | Notes - Selling, general and administrative expense - Consolidated financial statements",dart_all_2024-06-30.xsd,
495,dart_role-D834315,http://dart.fss.or.kr/role/ifrs/dart_role-D834315,link:presentationLink link:definitionLink ,"[D834315] 주석 - 판매비와 관리비 - 별도 | Notes - Selling, general and administrative expense - Separate financial statements",dart_all_2024-06-30.xsd,
496,dart_role-D834320,http://dart.fss.or.kr/role/ifrs/dart_role-D834320,link:presentationLink link:definitionLink ,[D834320] 주석 - 기타수익과 기타비용 - 연결 | Notes - Other income and expense - Consolidated financial statements,dart_all_2024-06-30.xsd,
497,dart_role-D834325,http://dart.fss.or.kr/role/ifrs/dart_role-D834325,link:presentationLink link:definitionLink ,[D834325] 주석 - 기타수익과 기타비용 - 별도 | Notes - Other income and expense - Separate financial statements,dart_all_2024-06-30.xsd,
498,dart_role-D834330,http://dart.fss.or.kr/role/ifrs/dart_role-D834330,link:presentationLink link:definitionLink ,[D834330] 주석 - 금융수익과 금융비용 - 연결 | Notes - Finance income and expense - Consolidated financial statements,dart_all_2024-06-30.xsd,
499,dart_role-D834335,http://dart.fss.or.kr/role/ifrs/dart_role-D834335,link:presentationLink link:definitionLink ,[D834335] 주석 - 금융수익과 금융비용 - 별도 | Notes - Finance income and expense - Separate financial statements,dart_all_2024-06-30.xsd,
500,ifrs_7_role-D822460,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822460,link:presentationLink link:definitionLink ,[D822460] 주석 - 매입채무 및 기타채무 - 연결 | Notes - Trade and other payables - Consolidated financial statements,dart_all_2024-06-30.xsd,
501,ifrs_7_role-D822465,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822465,link:presentationLink link:definitionLink ,[D822465] 주석 - 매입채무 및 기타채무 - 별도 | Notes - Trade and other payables - Separate financial statements,dart_all_2024-06-30.xsd,
502,ias_1_role-D861400,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861400,link:presentationLink link:definitionLink ,[D861400] 주석 - 기타자본구성요소 - 연결 | Notes - Other Elements Of Stockholder's Equity - Consolidated financial statements,dart_all_2024-06-30.xsd,
503,ias_1_role-D861405,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861405,link:presentationLink link:definitionLink ,[D861405] 주석 - 기타자본구성요소 - 별도 | Notes - Other Elements Of Stockholder's Equity - Separate financial statements,dart_all_2024-06-30.xsd,
