#,prefix,name,id,type,enumerations,substitutionGroup,balance,periodType,abstract,nillable,typedDomainRef,ext. enum domain,ext. enum linkrole,ext. enum headUsable,comment
5259,ifrs-full,ExpenseFromSharebasedPaymentTransactionsAlternativeAbstract,ifrs-full_ExpenseFromSharebasedPaymentTransactionsAlternativeAbstract,xbrli:stringItemType,,xbrli:item,,duration,true,true,,,,,
5260,ifrs-full,ExpenseFromSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssets,ifrs-full_ExpenseFromSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssets,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5261,ifrs-full,ExpenseFromSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssetsAbstract,ifrs-full_ExpenseFromSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssetsAbstract,xbrli:stringItemType,,xbrli:item,,duration,true,true,,,,,
5262,ifrs-full,ExpenseFromSharebasedPaymentTransactionsWithEmployees,ifrs-full_ExpenseFromSharebasedPaymentTransactionsWithEmployees,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5263,ifrs-full,ExpenseFromSharebasedPaymentTransactionsWithPartiesOtherThanEmployees,ifrs-full_ExpenseFromSharebasedPaymentTransactionsWithPartiesOtherThanEmployees,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5264,ifrs-full,ExpenseIncomeIncludedInProfitOrLossLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs-full_ExpenseIncomeIncludedInProfitOrLossLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,xbrli:monetaryItemType,,xbrli:item,credit,duration,,true,,,,,
5265,ifrs-full,ExpenseOfRestructuringActivities,ifrs-full_ExpenseOfRestructuringActivities,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5266,ifrs-full,ExpenseRecognisedDuringPeriodForBadAndDoubtfulDebtsForRelatedPartyTransaction,ifrs-full_ExpenseRecognisedDuringPeriodForBadAndDoubtfulDebtsForRelatedPartyTransaction,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5267,ifrs-full,ExpenseRelatingToLeasesOfLowvalueAssetsForWhichRecognitionExemptionHasBeenUsed,ifrs-full_ExpenseRelatingToLeasesOfLowvalueAssetsForWhichRecognitionExemptionHasBeenUsed,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5268,ifrs-full,ExpenseRelatingToShorttermLeasesForWhichRecognitionExemptionHasBeenUsed,ifrs-full_ExpenseRelatingToShorttermLeasesForWhichRecognitionExemptionHasBeenUsed,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5269,ifrs-full,ExpenseRelatingToVariableLeasePaymentsNotIncludedInMeasurementOfLeaseLiabilities,ifrs-full_ExpenseRelatingToVariableLeasePaymentsNotIncludedInMeasurementOfLeaseLiabilities,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5270,ifrs-full,ExpensesArisingFromReinsuranceHeld,ifrs-full_ExpensesArisingFromReinsuranceHeld,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5271,ifrs-full,ExpensesFromAllocationOfPremiumsPaidToReinsurer,ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer,xbrli:monetaryItemType,,xbrli:item,debit,duration,false,true,,,,,
5272,ifrs-full,ExpensesOnFinancialAssetsReclassifiedOutOfAvailableforsaleFinancialAssetsRecognisedInOtherComprehensiveIncome,ifrs-full_ExpensesOnFinancialAssetsReclassifiedOutOfAvailableforsaleFinancialAssetsRecognisedInOtherComprehensiveIncome,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5273,ifrs-full,ExpensesOnFinancialAssetsReclassifiedOutOfFinancialAssetsAtFairValueThroughProfitOrLossRecognisedInProfitOrLoss,ifrs-full_ExpensesOnFinancialAssetsReclassifiedOutOfFinancialAssetsAtFairValueThroughProfitOrLossRecognisedInProfitOrLoss,xbrli:monetaryItemType,,xbrli:item,debit,duration,,true,,,,,
5274,ifrs-full,ExplanationHowServiceConcessionArrangementHasBeenClassified,ifrs-full_ExplanationHowServiceConcessionArrangementHasBeenClassified,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5275,ifrs-full,ExplanationOfAccountingPoliciesAndMethodsOfComputationFollowedInInterimFinancialStatements,ifrs-full_ExplanationOfAccountingPoliciesAndMethodsOfComputationFollowedInInterimFinancialStatements,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5276,ifrs-full,ExplanationOfAdjustmentsBetweenDenominatorsUsedToCalculateBasicAndDilutedEarningsPerShare,ifrs-full_ExplanationOfAdjustmentsBetweenDenominatorsUsedToCalculateBasicAndDilutedEarningsPerShare,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
