LinkRole,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,,,,,,,,,
Definition,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",,,,,,,,,
prefix,name,label,depth,order,priority,weight,parent,arcrole,systemid,comment
dart,ShortTermAdvancePayments,"단기선급금, 총액",3,19.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermAdvancePayments,"대손충당금, 단기선급금",3,20.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentValueAddedTaxReceivables,유동부가세미수금,3,21.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermPrepaidExpenses,"단기선급비용, 총액",3,22.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermPrepaidExpenses,"대손충당금, 단기선급비용",3,23.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermPrepaidConstructionCosts,"단기선급공사원가, 총액",3,24.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermPrepaidConstructionCosts,"대손충당금, 단기선급공사원가",3,25.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LeaseholdDeposits,"단기임차보증금, 총액",3,26.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountLeaseholdDeposits,"대손충당금, 단기임차보증금",3,27.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermContractReserve,단기공사유보금,3,28.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentWorkoutReceivable,유동회생채권,3,29.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermDueFromCustomersForContractWork,"단기미청구공사, 총액",3,30.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermDueFromCustomersForContractWork,"대손충당금, 단기미청구공사",3,31.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ShortTermLoans,"단기대여금, 총액",3,32.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountShortTermLoans,"대손충당금, 단기대여금",3,33.0 ,0,-1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentContractAssets,유동계약자산,3,34.0 ,0,1.0 ,ifrs-full:TradeAndOtherCurrentReceivables,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentTaxAssets,당기법인세자산,2,5.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,Inventories,유동재고자산,2,6.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,RawMaterialsGross,"원재료, 총액",3,1.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossRawMaterialsGross,"평가충당금, 원재료",3,2.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ExperimentMaterialGross,"시험재료, 총액",3,3.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossExperimentMaterialGross,"평가충당금, 시험재료",3,4.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,MerchandiseGross,"상품, 총액",3,5.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossMerchandiseGross,"평가충당금, 상품",3,6.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ProductionSuppliesGross,"소모품, 총액",3,7.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossProductionSuppliesGross,"평가충당금, 소모품",3,8.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,WorkInProgressGross,"재공품, 총액",3,9.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossWorkInProgressGross,"평가충당금, 재공품",3,10.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,FinishedGoodsGross,"제품, 총액",3,11.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossFinishedGoodsGross,"평가충당금, 제품",3,12.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,SemiFinishedGoodsGross,"반제품,총액",3,13.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossSemiFinishedGoodsGross,"평가충당금, 반제품",3,14.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,SuppliesGross,"저장품, 총액",3,15.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossSuppliesGross,"평가충당금, 저장품",3,16.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,GoodsInTransitGross,"미착품, 총액",3,17.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossGoodsInTransitGross,"평가충당금, 미착품",3,18.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,ByProductGross,"부산물, 총액",3,19.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossByProductGross,"평가충당금, 부산물",3,20.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,FinishedHousingGross,"완성주택, 총액",3,21.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossFinishedHousingGross,"평가충당금, 완성주택",3,22.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LotGross,"용지, 총액",3,23.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
