2024 DART Taxonomy('24.9.26.),,,,,
,업종,구분,별도/연결 구분,Link,주석 명칭(Label)
,비금융업,주석,연결,'Presentation Link'!A10380,"[D800400] 주석 - 자본변동표, 추가공시 - 연결 | Notes - Statement of changes in equity, additional disclosures - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A10426,"[D800405] 주석 - 자본변동표, 추가공시 - 별도 | Notes - Statement of changes in equity, additional disclosures - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A10472,[D800500] 주석 - 주석 목록 - 연결 | Notes - List of notes - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A10612,[D800505] 주석 - 주석 목록 - 별도 | Notes - List of notes - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A10752,[D800600] 주석 - 회계정책 목록 - 연결 | Notes - List of accounting policies - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A10858,[D800605] 주석 - 회계정책 목록 - 별도 | Notes - List of accounting policies - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A10964,[D810000] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11056,[D810005] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 별도 | Notes - Corporate information and statement of IFRS compliance - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11148,[D810010] 주석 - 중요한 판단과 추정불확실성의 주요 원천 - 연결 | Notes - Significant judgements and sources of estimation uncertainty - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11169,[D810015] 주석 - 중요한 판단과 추정불확실성의 주요 원천 - 별도 | Notes - Significant judgements and sources of estimation uncertainty - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11190,"[D811000] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 연결 | Notes - Accounting policies, changes in accounting estimates and errors - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A11254,"[D811005] 주석 - 회계정책, 회계추정의 변경 및 오류에 대한 공시 - 별도 | Notes - Accounting policies, changes in accounting estimates and errors - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A11318,[D813000] 주석 - 중간재무보고 - 연결 | Notes - Interim financial reporting - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11343,[D813005] 주석 - 중간재무보고 - 별도 | Notes - Interim financial reporting - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11368,[D815000] 주석 - 보고기간 후 사건 - 연결 | Notes - Events after reporting period - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11405,[D815005] 주석 - 보고기간 후 사건 - 별도 | Notes - Events after reporting period - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11442,[D816000] 주석 - 초인플레이션 경제에서의 재무보고 - 연결 | Notes - Hyperinflationary reporting - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11458,[D816005] 주석 - 초인플레이션 경제에서의 재무보고 - 별도 | Notes - Hyperinflationary reporting - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11474,[D817000] 주석 - 사업결합 - 연결 | Notes - Business combinations - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11671,[D817005] 주석 - 사업결합 - 별도 | Notes - Business combinations - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A11868,[D818000] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A11987,[D818005] 주석 - 특수관계자 - 별도 | Notes - Related party - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12106,[D819100] 주석 - 최초채택 - 연결 | Notes - First time adoption - Consolidated financial statements
,비금융업,주석,별도,'Presentation Link'!A12169,[D819105] 주석 - 최초채택 - 별도 | Notes - First time adoption - Separate financial statements
,비금융업,주석,연결,'Presentation Link'!A12232,"[D822100] 주석 - 유형자산 - 연결 | Notes - Property, plant and equipment - Consolidated financial statements"
,비금융업,주석,별도,'Presentation Link'!A12347,"[D822105] 주석 - 유형자산 - 별도 | Notes - Property, plant and equipment - Separate financial statements"
,비금융업,주석,연결,'Presentation Link'!A12462,[D822200] 주석 - 탐사평가자산 - 연결 | Notes - Exploration for and evaluation of mineral resources - Consolidated financial statements
